name,lat,lon,address,type
Kati Vegan Thai,47.6209307,-122.3332743,1190 Thomas Street 98109,Restaurants
LunchBox Laboratory,47.6206366,-122.331442,,Restaurants
The Blue Glass,47.6761007,-122.3647966,704 Northwest 65th Street Seattle 98117,Restaurants
Bandol,47.6019354,-122.331839,506 2nd Avenue Seattle 98104,Restaurants
Palmi,47.6503638,-122.3496403,3424 Fremont Avenue North Seattle 98103,Restaurants
Pel'Meni Dumpling Tzar,47.6511373,-122.3505961,3516 Fremont Place North Seattle 98103,Restaurants
El Moose,47.6665862,-122.3817902,5242 Leary Avenue Northwest Seattle 98107,Restaurants
Joule,47.6497249,-122.3424,3506 Stone Way North Seattle 98103,Restaurants
Dur Dur Cafe,47.6081198,-122.3031681,,Restaurants
Little Coney's,47.686607,-122.4031837,,Restaurants
La Rustica,47.5674149,-122.4093461,,Restaurants
Windy City Pie,47.672328,-122.3541759,5918 Phinney Avenue North Seattle 98103,Restaurants
Jai Thai,47.6503182,-122.3500891,3423 Fremont Avenue North Seattle 98103,Restaurants
Delicatus,47.6015299,-122.3343745,103 1st Avenue South Seattle 98104,Restaurants
Tenth West,47.636137,-122.370557,1903C 10th Avenue West Seattle 98119,Restaurants
Malena's Taco Shop,47.6397012,-122.3659746,620 West McGraw Street Seattle 98119,Restaurants
Via Tribunali - Queen Anne,47.6322046,-122.361327,317 West Galer Street Seattle 98119,Restaurants
Seattle Pizza and Bar,47.616037,-122.3533168,2801 Western Avenue 98121,Restaurants
Rione XIII,47.6220796,-122.31283,401 15th Avenue East Seattle 98112,Restaurants
Alki Phở & Bar,47.5784426,-122.412365,2808 Alki Avenue Southwest Seattle 98116,Restaurants
Christo's,47.5808405,-122.4057616,2508 Alki Avenue Southwest ,Restaurants
Duke's,47.5807773,-122.405959,2516 Alki Avenue Southwest ,Restaurants
El Chupacabra,47.5801305,-122.4073049,2620 Alki Avenue Southwest ,Restaurants
West Seattle Brewing Co.,47.5803814,-122.4068141,2356 Alki Avenue Southwest Seattle 98116,Restaurants
Harry’s Beach House,47.5793974,-122.4091509,2676 Alki Avenue Southwest Seattle 98116,Restaurants
Tsui Sushi Bar,47.6757104,-122.3256094,6421 Latona Avenue Northeast Seattle 98115,Restaurants
Homegrown,47.6385089,-122.3571055,2201 Queen Anne Avenue North Seattle 98109,Restaurants
Vera Pizza,47.5489326,-122.3174654,,Restaurants
Le Pichet,47.6108072,-122.342558, 1st Avenue ,Restaurants
Virginia Inn,47.6108583,-122.34263,,Restaurants
Betty,47.6326914,-122.3572116,1507 Queen Anne Avenue North Seattle 98109,Restaurants
Domani,47.6327965,-122.3572204,1515 Queen Anne Avenue North Seattle 98109,Restaurants
El Mezcalito,47.6379208,-122.3571128,2123 Queen Anne Avenue North Seattle 98109,Restaurants
Isarn Thai Soul Kitchen,47.6379528,-122.3571118,2125 Queen Anne Avenue North ,Restaurants
Queen Anne Cafe,47.6378377,-122.3571242,2121 Queen Anne Avenue North Seattle 98109,Restaurants
Ikiiki,47.6385159,-122.3563471,12 Boston Street Seattle 98109,Restaurants
Bounty Kitchen,47.638259,-122.356528,7 Boston Street Seattle 98109,Restaurants
How to Cook a Wolf,47.6387102,-122.3567358,2208 Queen Anne Avenue North Seattle 98109,Restaurants
Grappa,47.6385016,-122.3567302,2 Boston Street Seattle 98109,Restaurants
Orrapin,47.6385109,-122.3564728,10 Boston Street Seattle 98109,Restaurants
Eden Hill,47.6387141,-122.3571003,2209 Queen Anne Avenue North Seattle 98109,Restaurants
Ada’s Restaurant & Bar,47.6721718,-122.3541824,5910 Phinney Avenue North Seattle 98103,Restaurants
Joy Palace,47.5475586,-122.284937,6030 Martin Luther King Junior Way South Seattle 98118,Restaurants
Cookie's Country Chicken,47.6688365,-122.3809989,1744 Northwest Market Street Seattle 98107,Restaurants
Mae Phim Thai,47.6032314,-122.3353113,94 Columbia Street Seattle 98104,Restaurants
Silver Tray,47.6612769,-122.333602,2101 North 45th Street 98103,Restaurants
Yoroshiku,47.6612734,-122.3344151,1913 North 45th Street Seattle 98103,Restaurants
TNT Taqueria,47.6614974,-122.3329383,2114 North 45th Street 98103,Restaurants
Aoki Sushi & Grill,47.6249184,-122.3211244,621 Broadway East Seattle 98102,Restaurants
Altura,47.6248147,-122.3211555,617 Broadway East Seattle 98102,Restaurants
Rom Mai Thai,47.6247346,-122.32115,613 Broadway East Seattle 98102,Restaurants
Local Bigger Burger,47.62365,-122.321114,515 Broadway East Seattle 98102,Restaurants
Albacha Restaurant,47.6186509,-122.3210407,1833 Broadway Seattle 98122,Restaurants
Annapurna Cafe,47.6185778,-122.3210789,1831 Broadway Seattle 98122,Restaurants
Nacho Borracho,47.6201245,-122.32104,209 Broadway East Seattle 98102,Restaurants
Mirch Masala,47.6202975,-122.3210914,213 Broadway East Seattle 98102,Restaurants
The Cheesecake Factory,47.6119029,-122.3333104,700 Pike Street Seattle 98101,Restaurants
